City,Country,Date,Lat,Lng,Cloudiness,Humidity,Max Temp (F),Wind Speed
Berlevåg,NO,1584165910,70.86,29.09,100,65,20.12,16.37
Les Cayes,HT,1584165912,18.2,-73.75,13,76,78.8,5.75
Sergeevka,KZ,1584165914,53.88,67.42,100,99,34.41,23.17
Ca Mau,VN,1584165916,9.18,105.15,48,32,96.1,12.1
Leh,IN,1584165918,34.17,77.58,100,60,15.4,3.8
Zliten,LY,1584165913,32.47,14.57,100,46,60.37,12.33
Siniscola,IT,1584165923,40.57,9.69,100,45,51.24,5.32
Buckingham,GB,1584165925,52.0,-0.99,100,93,45.0,11.41
High Rock,BS,1584165927,26.62,-78.28,0,84,73.54,15.3
Jasper,US,1584165929,37.2,-94.35,90,52,45.0,9.17
Hualmay,PE,1584165931,-11.1,-77.61,83,82,70.99,3.62
Polunochnoye,RU,1584165933,60.87,60.42,83,84,35.85,8.66
La Ronge,CA,1584165936,55.1,-105.28,20,70,-5.8,2.24
Faya,SA,1584165938,18.39,42.45,40,77,60.8,12.75
Gamba,GA,1584165940,-2.65,10.0,99,90,77.95,3.51
Broome,US,1584165942,42.25,-75.83,90,55,36.0,11.41
Tomakivka,UA,1584165944,47.82,34.74,40,86,39.2,13.42
Bentiu,SS,1584165946,9.23,29.83,5,20,84.38,7.07
Banjar,ID,1584165949,-8.19,114.97,20,79,86.0,6.93
Airai,TL,1584165951,-8.93,125.41,17,53,81.36,6.15
Albanel,CA,1584165953,48.88,-72.45,75,80,35.01,13.87
Sur,OM,1584165955,22.57,59.53,96,18,78.6,4.25
Nāthdwāra,IN,1584165957,24.93,73.82,0,33,73.4,6.93
Ambon City,ID,1584165959,-3.7,128.18,40,79,84.2,6.93
Marsá Maţrūḩ,EG,1584165961,31.35,27.25,40,100,53.6,4.7
Villefranche-sur-Saône,FR,1584165964,45.98,4.72,33,86,36.0,2.24
Catia La Mar,VE,1584165966,10.6,-67.03,9,82,64.99,4.7
San Quintín,MX,1584165968,30.48,-115.95,45,82,59.99,4.72
Nyurba,RU,1584165970,63.28,118.33,35,89,-1.91,7.49
Sakaiminato,JP,1584165972,35.55,133.23,75,76,50.0,9.17
Kribi,CM,1584165974,2.95,9.92,91,91,78.39,3.22
Eyl,SO,1584165977,7.98,49.82,100,77,80.31,16.93
Beloha,MG,1584165979,-25.17,45.05,48,58,81.19,11.61
Thinadhoo,MV,1584165981,0.53,72.93,31,64,83.88,8.28
Palmer,US,1584165983,42.16,-72.33,1,51,42.8,3.36
Andenes,NO,1584165985,69.31,16.12,100,73,24.8,10.29
Khandagayty,RU,1584165987,50.73,92.05,100,82,10.8,3.87
Arrondissement de Lons-le-Saunier,FR,1584165989,46.75,5.75,85,86,39.99,3.36
Ketchikan,US,1584165992,55.34,-131.65,1,39,33.8,6.93
Ulladulla,AU,1584165994,-35.35,150.47,90,59,62.01,16.11
Petropavlovsk-Kamchatskiy,RU,1584165996,53.05,158.65,75,71,32.0,13.42
Grand Gaube,MU,1584165998,-20.01,57.66,75,88,84.0,8.05
Hedensted,DK,1584166000,55.77,9.7,0,100,27.0,1.12
Taltal,CL,1584166002,-25.4,-70.48,75,90,59.45,1.72
Asău,RO,1584166005,46.43,26.4,20,93,41.0,3.36
Mahon,ES,1584166007,39.89,4.27,100,71,53.6,17.22
Puerto Ayacucho,VE,1584166009,5.66,-67.62,79,95,72.63,3.06
Kumul,CN,1584166011,42.8,93.45,39,14,47.89,7.23
Fortuna Foothills,US,1584166013,32.66,-114.41,90,77,62.6,9.17
Saint Anthony,US,1584166015,45.02,-93.22,1,68,27.0,10.29
Luena,AO,1584166018,-11.78,19.92,100,95,61.83,6.35
Safonovo,RU,1584166020,55.15,33.22,6,82,34.56,7.43
Bandarbeyla,SO,1584166022,9.49,50.81,90,80,79.05,15.88
Fort-Shevchenko,KZ,1584166024,44.51,50.26,74,39,58.95,26.89
Pochutla,MX,1584166026,15.74,-96.47,0,82,78.01,7.29
Koplik,AL,1584166028,42.21,19.44,35,93,50.0,2.24
Avinurme,EE,1584166030,58.98,26.86,82,69,26.01,11.99
Meulaboh,ID,1584166025,4.14,96.13,0,73,83.86,3.42
Bama,NG,1584165864,11.52,13.69,4,44,62.04,7.34
Fenoarivo,MG,1584166037,-18.93,47.44,40,68,69.8,9.17
Praia da Vitória,PT,1584166039,38.73,-27.07,20,82,55.4,3.24
Yārāda,IN,1584166041,17.65,83.27,20,55,87.8,9.17
Guánica,PR,1584166043,17.97,-66.91,75,77,73.99,4.7
Polson,US,1584166045,47.69,-114.16,90,72,21.0,27.51
Bétérou,BJ,1584166048,9.2,2.26,71,78,78.93,1.19
Tambura,SS,1584166050,5.6,27.47,84,78,76.21,4.68
Isangel,VU,1584166052,-19.55,169.27,99,78,83.79,13.15
Rome,US,1584166054,43.21,-75.46,90,59,39.2,19.46
Umm Kaddadah,SD,1584166056,13.6,26.69,75,19,68.29,17.67
Nago,JP,1584166058,26.59,127.98,75,63,66.2,29.97
Klaksvík,FO,1584166061,62.23,-6.59,100,73,35.6,2.24
Bien Hoa,VN,1584166063,10.95,106.82,75,52,91.4,6.93
Irmo,US,1584166065,34.09,-81.18,75,88,64.4,7.14
Guerrero Negro,MX,1584166067,27.98,-114.06,0,78,61.77,7.47
Burns Lake,CA,1584166069,54.23,-125.75,28,66,0.48,9.93
Kirakira,SB,1584166071,-10.45,161.92,78,81,81.63,10.22
Hamilton,US,1584166074,39.18,-84.53,1,80,41.0,3.2
Mudanya,TR,1584166076,40.38,28.88,1,93,48.2,2.24
Alice Town,BS,1584166078,25.72,-79.3,36,82,74.86,16.71
Sol'-Iletsk,RU,1584166080,51.16,54.99,100,97,37.4,9.31
Port-Gentil,GA,1584166082,-0.72,8.78,75,88,82.4,8.05
Kapoeta,SS,1584166084,4.77,33.59,99,58,83.23,0.94
El Zapote,MX,1584166087,21.07,-102.8,17,45,67.44,4.18
Mandalgovi,MN,1584166089,45.76,106.27,0,40,38.44,15.99
Bose,IT,1584166091,45.46,8.01,90,87,54.0,5.82
Kabinda,CD,1584166093,-6.13,24.48,100,96,68.83,3.47
Enid,US,1584166095,36.4,-97.88,90,93,42.01,13.87
Manoel Urbano,BR,1584166097,-8.84,-69.26,100,87,74.28,1.14
Kwang Binh,VN,1584165827,17.48,106.6,99,89,75.54,8.34
Dhidhdhoo,MV,1584166102,6.88,73.1,0,78,83.41,12.75
Anshun,CN,1584166104,26.25,105.93,86,56,59.83,8.14
Constitución,CL,1584166106,-35.33,-72.42,14,77,57.58,5.73
Palmares do Sul,BR,1584166108,-30.26,-50.51,0,91,72.39,9.82
Forsytheganj,BY,1584166110,52.63,29.73,83,76,38.66,16.62
Agadez,NE,1584166112,19.75,10.25,0,25,55.89,1.7
Jumla,NP,1584166115,29.27,82.18,0,27,50.11,4.47
Kloulklubed,PW,1584166117,7.04,134.26,75,62,87.8,8.05
Kabarnet,KE,1584166119,0.49,35.74,40,87,59.0,5.82
Ust-Nera,RU,1584166121,64.57,143.2,99,85,-9.42,3.78
Sisimiut,GL,1584166123,66.94,-53.67,100,96,-3.05,6.22
Myaundzha,RU,1584166125,63.05,147.19,53,82,-4.58,4.03
Saint-Pierre,RE,1584166127,-21.34,55.48,75,78,82.99,21.92
Loa Janan,ID,1584166129,-0.58,117.09,60,44,92.66,2.62
Dryden,CA,1584165889,49.78,-92.75,40,78,8.6,4.7
Aden,YE,1584166007,12.78,45.04,58,58,79.29,16.91
Sept-Îles,CA,1584166136,50.2,-66.38,90,92,19.99,20.8
‘Āhuimanu,US,1584166138,21.44,-157.84,90,78,73.4,5.82
Sitka,US,1584166140,57.05,-135.33,1,74,33.8,4.7
Vidim,RU,1584166142,56.41,103.11,93,96,32.7,7.07
Chapais,CA,1584166144,49.78,-74.85,90,85,23.0,14.99
Port Augusta,AU,1584166147,-32.5,137.77,18,33,73.99,19.46
Ahipara,NZ,1584166149,-35.17,173.17,77,69,68.61,5.26
Glace Bay,CA,1584165895,46.2,-59.96,90,100,43.0,34.45
Bestöbe,KZ,1584166153,52.5,73.1,69,84,29.93,22.48
Mweka,CD,1584166155,-4.85,21.57,94,90,72.21,1.48
Mogocha,RU,1584166157,53.73,119.77,88,60,13.05,10.54
Tateyama,JP,1584166159,34.98,139.87,75,93,44.6,14.99
Qaqortoq,GL,1584166022,60.72,-46.03,100,73,19.4,11.45
Ṭikāpur,NP,1584166164,28.5,81.13,0,34,81.09,3.83
Derbent,RU,1584166166,42.07,48.29,100,80,49.19,12.68
Kemijärvi,FI,1584166168,66.71,27.43,34,86,10.33,8.99
Gravdal,NO,1584166170,68.12,13.5,100,48,29.5,8.72
Kantunilkín,MX,1584166172,21.09,-87.45,5,78,77.0,9.17
Kununurra,AU,1584166174,-15.77,128.73,42,29,100.4,4.7
Alghero,IT,1584166177,40.56,8.32,100,93,46.4,2.39
Wairoa,NZ,1584166179,-39.03,177.37,39,71,64.99,3.0
Sittwe,MM,1584166181,20.15,92.9,13,55,83.98,9.46
Santa Cruz de La Palma,ES,1584166183,28.68,-17.76,75,68,66.2,11.41
Tongliao,CN,1584166185,43.61,122.27,12,31,42.33,15.88
Salta,AR,1584166187,-24.79,-65.41,100,88,71.6,4.7
Turaif,SA,1584166189,31.67,38.66,75,93,51.8,11.41
Province of Trapani,IT,1584166192,37.83,12.67,96,87,55.0,5.82
Lodja,CD,1584166194,-3.48,23.43,100,98,68.72,2.13
Tezu,IN,1584166197,27.92,96.17,46,21,88.92,3.11
Birao,CF,1584166199,10.28,22.79,63,19,74.79,14.67
Canyon Lake,US,1584166201,29.88,-98.26,90,78,72.0,17.22
São Paulo do Potengi,BR,1584166207,-5.89,-35.76,75,94,75.2,6.93
Nicosia,CY,1584166188,35.17,33.37,40,72,64.99,6.93
Pouébo,NC,1584166211,-20.4,164.57,100,82,79.18,3.78
Husavik,IS,1584166213,66.04,-17.34,90,73,24.8,16.11
São José da Coroa Grande,BR,1584166215,-8.9,-35.15,100,68,82.08,8.05
Antofagasta,CL,1584166172,-23.65,-70.4,75,88,64.4,10.29
Chandler,US,1584166037,33.31,-111.84,75,76,55.99,4.99
Savannah Bight,HN,1584166222,16.45,-85.85,0,79,79.27,18.54
Ust'-Kut,RU,1584166224,56.79,105.77,92,98,31.8,4.85
Zasechnoye,RU,1584166225,53.11,45.08,100,49,41.0,10.33
Newport,GB,1584166228,51.59,-3.0,75,93,46.4,6.93
Atakpamé,TG,1584166230,7.53,1.13,0,90,74.68,1.45
Ostrovnoy,RU,1584166233,68.05,39.51,100,75,21.33,16.82
Iquique,CL,1584166125,-20.22,-70.14,79,68,71.6,5.82
Margate,GB,1584166098,51.38,1.39,40,87,46.4,11.41
Juneau,US,1584166220,58.3,-134.42,40,73,28.99,7.45
Na Klang,TH,1584166241,17.31,102.19,0,37,100.99,2.24
Faanui,PF,1584166246,-16.48,-151.75,89,79,83.1,16.02
Wāliṅ,NP,1584166248,27.98,83.77,33,26,80.62,3.62
Manono,CD,1584166250,-7.3,27.42,100,98,68.72,3.58
Dondo,MZ,1584166252,-19.61,34.74,20,94,77.0,3.36
Hope,US,1584166254,33.67,-93.59,90,81,48.99,9.17
Karlstad,SE,1584166257,59.38,13.5,0,73,24.01,4.7
Ossora,RU,1584166259,59.24,163.07,100,91,30.02,30.09
Mayumba,GA,1584166261,-3.43,10.66,84,78,82.45,4.18
Namatanai,PG,1584166263,-3.67,152.43,3,76,83.93,13.47
Itoman,JP,1584166265,26.12,127.67,75,63,66.2,29.97
Araouane,ML,1584166267,18.9,-3.53,0,13,70.66,7.02
Sambava,MG,1584166269,-14.27,50.17,100,93,76.44,3.31
Sola,VU,1584166271,-13.88,167.55,100,76,84.88,13.2
Lavrentiya,RU,1584166274,65.58,-171.0,100,97,30.52,14.67
Manbij,SY,1584166276,36.53,37.95,75,87,51.8,10.29
Farah,AF,1584166278,32.5,62.5,50,16,65.37,2.06
Praia,CV,1584166280,14.92,-23.51,90,17,77.0,11.41
Pipili,IN,1584166282,20.12,85.83,20,55,86.0,4.7
Mitsamiouli,KM,1584166284,-11.38,43.28,40,78,82.4,6.93
Haines Junction,CA,1584166286,60.75,-137.51,74,62,6.22,0.56
Menongue,AO,1584166289,-14.66,17.69,97,92,64.53,4.34
Oranjestad,AW,1584166291,12.52,-70.03,20,74,78.8,12.75
Wanning,CN,1584166293,18.8,110.4,89,92,74.37,10.96
Devils Lake,US,1584166295,48.11,-98.87,1,100,14.0,10.29
San Policarpo,PH,1584166297,12.18,125.51,43,68,81.7,9.17
Oddur,SO,1584166299,4.12,43.89,100,68,79.0,19.1
Olinda,BR,1584166301,-8.01,-34.86,20,69,82.4,8.05
Joaquim Nabuco,BR,1584166304,-8.62,-35.53,100,87,72.77,2.15
Kibala,TD,1584166306,9.11,18.35,10,21,71.6,5.39
Turbat,PK,1584166308,26.0,63.04,27,6,80.24,3.24
Dalbandin,PK,1584166310,28.89,64.41,0,17,66.52,4.85
Aloleng,PH,1584166312,16.13,119.78,64,48,90.0,14.41
Flin Flon,CA,1584166315,54.77,-101.86,92,98,-2.06,4.16
Saint-Augustin,CA,1584166317,51.23,-58.65,100,90,19.53,26.8
Podporozh'ye,RU,1584166319,60.91,34.17,50,49,21.96,12.59
Okha,RU,1584166321,53.57,142.95,0,75,7.7,12.1
San Cristobal,VE,1584166323,7.77,-72.22,75,74,78.8,2.24
Kazachinskoye,RU,1584166325,57.7,93.28,100,99,33.19,6.96
San Jose,US,1584166139,37.34,-121.89,90,76,55.0,14.99
Beamsville,CA,1584166330,43.17,-79.48,20,64,37.99,12.75
Batagay-Alyta,RU,1584166332,67.8,130.41,0,84,-11.24,6.02
Saint-Ambroise,CA,1584166334,48.55,-71.33,90,64,37.4,19.46
Chërnaya Kholunitsa,RU,1584166336,58.85,51.72,99,86,32.95,12.17
Sydney,AU,1584166172,-33.87,151.21,75,93,57.99,17.22
Pijijiapan,MX,1584166340,15.7,-93.23,0,79,72.99,2.33
Riyadh,SA,1584166116,24.69,46.72,90,22,75.2,16.11
Erenhot,CN,1584166345,43.65,111.98,0,31,38.08,22.39
Clyde River,CA,1584166347,70.47,-68.59,90,75,-16.6,13.87
Mandiana,GN,1584166349,10.63,-8.68,0,16,67.48,3.15
Liliani,PK,1584166351,32.21,72.95,0,57,66.97,6.08
Manga,BF,1584166353,11.66,-1.07,1,21,78.89,9.93
Van,TR,1584166355,38.49,43.38,75,81,44.6,2.24
Khovd,MN,1584166358,48.01,91.64,100,37,25.84,2.42
Eskişehir,TR,1584166360,39.78,30.52,11,53,51.8,5.82
Laibin,CN,1584166362,23.7,109.27,44,57,70.41,13.85
Remontnoye,RU,1584166364,46.56,43.65,60,76,50.0,8.95
Bosaso,SO,1584166115,11.28,49.18,81,73,78.28,12.55
Kodīnar,IN,1584166368,20.79,70.7,0,14,86.22,14.23
Manyana,BW,1584166370,-23.4,21.72,0,64,71.78,11.16
Nuuk,GL,1584166305,64.18,-51.72,97,71,8.6,11.41
Akranes,IS,1584166375,64.32,-22.07,20,73,24.8,10.29
Grand-Lahou,CI,1584166377,5.14,-5.02,91,80,83.73,13.6
Abu Kamal,SY,1584166379,34.45,40.92,100,74,60.13,10.51
Tagusao,PH,1584166381,9.19,117.81,37,58,85.08,8.28
Emerald,AU,1584166383,-23.53,148.17,75,35,84.99,14.99
Inyonga,TZ,1584166385,-6.72,32.07,100,93,67.82,2.26
Quaraí,BR,1584166387,-30.39,-56.45,0,45,78.89,10.87
Qiyang,CN,1584166390,26.59,111.85,0,48,64.76,5.59
Mocuba,MZ,1584166392,-16.84,36.99,100,83,76.86,2.24
Indiaroba,BR,1584166394,-11.52,-37.51,77,88,74.34,2.24
Tonj,SS,1584166396,7.27,28.68,82,56,84.09,3.29
Leshukonskoye,RU,1584166398,64.9,45.76,100,91,26.71,4.54
Loukhi,RU,1584166400,66.08,33.04,100,77,17.6,18.37
Atherton,GB,1584166402,53.52,-2.49,90,93,45.0,8.05
Nouadhibou,MR,1584166405,20.93,-17.03,0,77,66.2,6.93
Levice,SK,1584166407,48.22,18.61,20,74,42.01,4.7
San Jerónimo,PE,1584166409,-11.95,-75.28,71,89,40.3,1.72
Kabompo,ZM,1584166411,-13.59,24.2,79,96,67.41,4.65
Dunedin,NZ,1584166139,-45.87,170.5,8,70,62.01,4.0
Smyrna,US,1584166415,33.88,-84.51,90,77,63.0,3.36
Sorong,ID,1584166417,-0.88,131.25,100,84,83.79,3.94
Tiarei,PF,1584166420,-17.53,-149.33,20,74,84.2,2.24
Longonjo,AO,1584166422,-12.91,15.25,40,100,62.6,4.7
Araçuaí,BR,1584166424,-16.85,-42.07,3,97,66.16,2.95
Riverton,US,1584166175,40.52,-111.94,90,87,44.6,23.04
Venosa,IT,1584166428,40.96,15.81,40,66,48.2,4.7
Yumen,CN,1584166430,40.28,97.2,3,20,45.23,10.51
Taft,IR,1584166433,31.75,54.21,75,14,62.6,9.17
Dalvik,IS,1584166435,65.97,-18.53,90,73,24.8,16.11
Hūn,LY,1584166145,29.13,15.95,68,31,57.83,5.77
Linkuva,LT,1584166439,56.09,23.97,100,79,28.4,18.34
Mariental,NA,1584166441,-24.63,17.97,0,31,69.44,6.04
Iranshahr,IR,1584166443,27.2,60.68,60,15,71.6,1.79
Barra dos Coqueiros,BR,1584166447,-10.91,-37.04,40,62,84.2,8.05
Maumere,ID,1584166449,-8.62,122.21,22,64,83.97,6.51
Diyarb Najm,EG,1584166451,30.75,31.44,75,100,60.8,5.82
Lingao,CN,1584166453,19.91,109.69,67,83,71.78,23.11
Adelaide,AU,1584166192,-34.93,138.6,20,37,73.0,18.34
Beckley,US,1584166457,37.78,-81.19,1,38,44.6,4.7
Livingston,GB,1584166190,55.9,-3.52,75,93,41.0,9.17
Pontianak,ID,1584166462,-0.03,109.33,62,53,92.79,1.5
Dubuque,US,1584166464,42.48,-90.87,1,69,36.0,9.17
Camaná,PE,1584166204,-16.62,-72.71,100,90,65.93,6.35
Northam,GB,1584166468,51.03,-4.22,91,98,46.99,3.0
Prince Rupert,CA,1584166470,54.32,-130.32,1,39,28.4,8.05
Yaan,NG,1584166472,7.38,8.57,74,16,74.19,4.23
Xingcheng,CN,1584166475,40.62,120.72,0,20,51.8,12.39
Voroshnëvo,RU,1584166477,51.65,36.02,75,74,39.2,8.95
Tilichiki,RU,1584166479,60.47,166.1,81,87,19.29,12.44
Taywarah,AF,1584166481,33.35,64.42,34,46,35.46,4.88
Okhotsk,RU,1584166483,59.38,143.3,100,75,11.55,13.96
Werda,BW,1584166485,-25.27,23.28,0,58,72.03,4.72
Kosai,JP,1584166487,34.71,137.53,75,81,48.99,16.11
Vagay,RU,1584166490,57.94,69.02,100,96,37.2,11.23
Novo Aripuanã,BR,1584166492,-5.12,-60.38,94,90,76.55,0.29
Minatitlán,MX,1584166494,17.98,-94.52,0,94,71.8,4.63
La Gomera,GT,1584166496,14.08,-91.05,1,79,76.1,5.55
Lincoln,US,1584166498,40.8,-96.67,90,86,37.4,6.93
Nipawin,CA,1584166500,53.37,-104.0,1,70,-5.8,5.82
Kyshtovka,RU,1584166502,56.55,76.63,100,92,26.19,15.88
Snyder,US,1584166375,32.72,-100.92,90,100,50.0,10.29
Misratah,LY,1584166507,32.38,15.09,100,61,62.33,10.0
Fitjar,NO,1584166509,59.92,5.32,75,59,34.0,21.92
Coyhaique,CL,1584166511,-45.58,-72.07,4,75,46.4,2.24
Tawang Town,IN,1584166513,27.58,91.87,96,48,49.71,5.93
Bambanglipuro,ID,1584166516,-7.95,110.28,97,61,87.93,7.14
Biak,ID,1584166518,-0.91,122.88,100,71,83.41,2.33
Constantine,DZ,1584166520,36.37,6.61,40,93,46.4,3.15
